rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,checkout,late,rented_again
540547,385008,connect,ended,48.0,536772.0,120.0,Late 30-60 min,come later,rented again
540577,363712,mobile,ended,-244.0,,,Early,come earlier,Parking
540776,366866,mobile,ended,6.0,,,Late under 30 min,come later,Parking
540931,334118,mobile,ended,113.0,,,Late 60-120 min,come later,Parking
540977,166540,connect,ended,-29.0,,,Early,come earlier,Parking
541001,409950,mobile,ended,-11.0,,,Early,come earlier,Parking
541008,344143,mobile,ended,5.0,,,Late under 30 min,come later,Parking
541054,313308,mobile,ended,11.0,,,Late under 30 min,come later,Parking
541057,390098,mobile,canceled,,,,Early,come earlier,Parking
541076,378689,mobile,ended,44.0,,,Late 30-60 min,come later,Parking
541119,280328,mobile,ended,5.0,,,Late under 30 min,come later,Parking
541210,408738,mobile,ended,14.0,,,Late under 30 min,come later,Parking
541231,383720,connect,ended,-215.0,,,Early,come earlier,Parking
541235,306935,mobile,ended,-1013.0,,,Early,come earlier,Parking
541274,408127,mobile,ended,-1.0,,,Early,come earlier,Parking
541547,384567,mobile,ended,191.0,,,Late more than 180 min,come later,Parking
541944,317378,connect,ended,48.0,,,Late 30-60 min,come later,Parking
542029,190163,mobile,ended,186.0,,,Late more than 180 min,come later,Parking
542082,391926,connect,canceled,,,,Early,come earlier,Parking
542118,375774,mobile,ended,21.0,,,Late under 30 min,come later,Parking
542173,305189,mobile,ended,,,,Early,come earlier,Parking
542204,320891,mobile,ended,-61.0,,,Early,come earlier,Parking
542227,349566,mobile,ended,28.0,,,Late under 30 min,come later,Parking
542261,392712,connect,ended,-96.0,,,Early,come earlier,Parking
542277,404873,mobile,canceled,,,,Early,come earlier,Parking
542290,403292,mobile,canceled,,,,Early,come earlier,Parking
542381,364296,mobile,ended,210.0,,,Late more than 180 min,come later,Parking
542428,350374,connect,ended,118.0,,,Late 60-120 min,come later,Parking
542450,348462,mobile,ended,33.0,,,Late 30-60 min,come later,Parking
542526,294883,mobile,ended,0.0,,,Late under 30 min,come earlier,Parking
542538,394319,mobile,ended,6.0,,,Late under 30 min,come later,Parking
538292,370055,connect,ended,-27.0,,,Early,come earlier,Parking
538456,296549,mobile,ended,-92.0,,,Early,come earlier,Parking
538472,404377,mobile,ended,-116.0,,,Early,come earlier,Parking
538508,406590,mobile,ended,81.0,,,Late 60-120 min,come later,Parking
538518,393107,mobile,ended,-180.0,,,Early,come earlier,Parking
538590,284250,mobile,ended,-24.0,,,Early,come earlier,Parking
538830,265239,connect,ended,34.0,,,Late 30-60 min,come later,Parking
538835,408214,mobile,ended,,,,Early,come earlier,Parking
538864,384407,mobile,ended,4.0,,,Late under 30 min,come later,Parking
538936,392882,mobile,ended,29.0,,,Late under 30 min,come later,Parking
538979,383474,mobile,ended,70.0,,,Late 60-120 min,come later,Parking
539204,322005,mobile,canceled,,,,Early,come earlier,Parking
539364,384385,mobile,ended,136.0,,,Late 120-180 min,come later,Parking
539408,359049,connect,ended,-6.0,,,Early,come earlier,Parking
539429,384970,mobile,ended,81.0,,,Late 60-120 min,come later,Parking
539439,393328,mobile,ended,10.0,,,Late under 30 min,come later,Parking
539526,384396,connect,ended,139.0,,,Late 120-180 min,come later,Parking
539767,340201,mobile,canceled,,,,Early,come earlier,Parking
